"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-01",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-02",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-03",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-04",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-05",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-06",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-07",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-08",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-09",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-10",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-11",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-12",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-13",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-14",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-15",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-16",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-17",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-18",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-19",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-20",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-21",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-22",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-23",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-24",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-25",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-26",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-27",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-28",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-29",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-30",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-01-31",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-01",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-02",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-03",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-04",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-05",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-06",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-07",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-08",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-09",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-10",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-11",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-12",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-13",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-14",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-15",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-16",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-17",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-18",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-19",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-20",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-21",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-22",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-23",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-24",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-25",,,"70",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-26",,,"70",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-27",,,"71",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-28",,,"72",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-02-29",,,"71",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-01",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-02",,,"70",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-03",,,"70",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-04",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-05",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-06",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-07",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-08",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-09",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-10",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-11",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-12",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-13",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-14",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-15",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-16",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-03-17",,,"60",,
